demand_id,task_id,src_node_id,dst_node_id,priority,is_mandatory,data_volume_mb,required_rate_kbps,max_delay_ms,min_reliability,service_type,preferred_class
CD-0276,TS-0005,ND-0068,ND-0047,P3,false,114.7,4.8,250,0.95,话音,VUHF
CD-0277,TS-0005,ND-0121,ND-0115,P2,true,169.5,1.2,150,0.995,短消息,HF
CD-0278,TS-0005,ND-0079,ND-0038,P3,false,239.1,4.8,400,0.9,话音,VUHF
CD-0279,TS-0005,ND-0088,ND-0011,P2,false,46.3,32,800,0.95,数据,VUHF
CD-0280,TS-0005,ND-0055,ND-0068,P3,false,82.1,32,250,0.95,数据,VUHF
CD-0281,TS-0005,ND-0037,ND-0009,P2,false,231.5,4.8,800,0.95,话音,VUHF
CD-0282,TS-0005,ND-0059,ND-0076,P3,false,219.5,1.2,250,0.995,短消息,VUHF
CD-0283,TS-0005,ND-0075,ND-0080,P2,false,235.0,4.8,150,0.95,话音,VUHF
CD-0284,TS-0005,ND-0073,ND-0030,P3,false,73.8,32,800,0.995,数据,VUHF
CD-0285,TS-0005,ND-0094,ND-0007,P3,false,101.6,1.2,400,0.95,短消息,VUHF
CD-0286,TS-0005,ND-0089,ND-0066,P3,false,15.3,1.2,400,0.995,短消息,VUHF
CD-0287,TS-0005,ND-0066,ND-0018,P2,true,150.2,4.8,250,0.995,话音,VUHF
CD-0288,TS-0005,ND-0007,ND-0048,P2,false,206.4,1.2,400,0.9,短消息,VUHF
CD-0289,TS-0005,ND-0033,ND-0046,P2,true,56.6,32,150,0.99,数据,VUHF
CD-0290,TS-0005,ND-0079,ND-0083,P3,false,33.8,32,150,0.99,数据,VUHF
CD-0291,TS-0005,ND-0003,ND-0016,P1,true,53.7,32,400,0.995,数据,VUHF
CD-0292,TS-0005,ND-0072,ND-0017,P2,true,134.4,32,800,0.995,数据,VUHF
CD-0293,TS-0005,ND-0079,ND-0033,P2,true,21.7,32,250,0.95,数据,VUHF
CD-0294,TS-0005,ND-0081,ND-0072,P2,false,34.7,32,250,0.99,数据,VUHF
CD-0295,TS-0005,ND-0045,ND-0097,P3,false,77.3,1.2,400,0.995,短消息,VUHF
CD-0296,TS-0005,ND-0080,ND-0095,P3,false,127.5,1.2,800,0.9,短消息,VUHF
CD-0297,TS-0005,ND-0007,ND-0070,P1,true,168.4,1.2,250,0.995,短消息,VUHF
CD-0298,TS-0005,ND-0125,ND-0114,P3,false,114.5,1.2,150,0.99,短消息,HF
CD-0299,TS-0005,ND-0039,ND-0081,P2,false,83.1,4.8,250,0.99,话音,VUHF
CD-0300,TS-0005,ND-0027,ND-0072,P2,false,172.5,32,400,0.95,数据,VUHF
CD-0301,TS-0005,ND-0118,ND-0030,P3,false,8.1,1.2,250,0.99,短消息,HF
CD-0302,TS-0005,ND-0089,ND-0061,P2,true,214.8,4.8,800,0.99,话音,VUHF
CD-0303,TS-0005,ND-0064,ND-0020,P3,false,17.9,32,250,0.9,数据,VUHF
CD-0304,TS-0005,ND-0081,ND-0088,P3,false,51.7,4.8,250,0.995,话音,VUHF
CD-0305,TS-0005,ND-0031,ND-0073,P2,false,167.8,1.2,150,0.9,短消息,VUHF
CD-0306,TS-0005,ND-0114,ND-0049,P3,false,197.7,32,250,0.95,数据,HF
CD-0307,TS-0005,ND-0120,ND-0032,P2,false,77.2,1.2,800,0.99,短消息,HF
CD-0308,TS-0005,ND-0087,ND-0036,P3,false,138.2,4.8,800,0.99,话音,VUHF
CD-0309,TS-0005,ND-0053,ND-0052,P2,true,19.3,1.2,250,0.95,短消息,VUHF
CD-0310,TS-0005,ND-0087,ND-0007,P3,false,225.5,4.8,150,0.95,话音,VUHF
CD-0311,TS-0005,ND-0061,ND-0087,P2,false,42.4,4.8,250,0.99,话音,VUHF
CD-0312,TS-0005,ND-0100,ND-0097,P2,false,180.6,4.8,800,0.95,话音,VUHF
CD-0313,TS-0005,ND-0060,ND-0020,P2,false,75.4,4.8,250,0.995,话音,VUHF
CD-0314,TS-0005,ND-0009,ND-0028,P3,false,111.0,4.8,150,0.995,话音,VUHF
CD-0315,TS-0005,ND-0029,ND-0113,P2,true,53.8,1.2,800,0.9,短消息,HF
CD-0316,TS-0005,ND-0103,ND-0007,P2,false,177.1,32,250,0.99,数据,VUHF
CD-0317,TS-0005,ND-0081,ND-0024,P2,false,163.1,1.2,250,0.99,短消息,VUHF
CD-0318,TS-0005,ND-0066,ND-0011,P3,false,211.6,1.2,400,0.99,短消息,VUHF
CD-0319,TS-0005,ND-0033,ND-0040,P3,false,218.5,32,400,0.99,数据,VUHF
CD-0320,TS-0005,ND-0083,ND-0055,P2,true,67.0,32,250,0.995,数据,VUHF
CD-0321,TS-0005,ND-0024,ND-0045,P3,false,120.4,4.8,250,0.995,话音,VUHF
CD-0322,TS-0005,ND-0044,ND-0041,P2,false,15.6,4.8,400,0.995,话音,VUHF
CD-0323,TS-0005,ND-0085,ND-0020,P2,false,197.3,1.2,250,0.9,短消息,VUHF
CD-0324,TS-0005,ND-0060,ND-0089,P3,false,87.8,4.8,400,0.9,话音,VUHF
CD-0325,TS-0005,ND-0101,ND-0048,P2,false,151.8,4.8,150,0.995,话音,VUHF
CD-0326,TS-0005,ND-0083,ND-0038,P3,false,168.6,1.2,150,0.95,短消息,VUHF
CD-0327,TS-0005,ND-0103,ND-0023,P2,true,77.7,4.8,800,0.99,话音,VUHF
CD-0328,TS-0005,ND-0092,ND-0008,P3,false,139.6,4.8,800,0.995,话音,VUHF
CD-0329,TS-0005,ND-0040,ND-0002,P3,false,100.4,1.2,800,0.995,短消息,HF
CD-0330,TS-0005,ND-0093,ND-0016,P3,false,209.5,4.8,150,0.95,话音,VUHF
CD-0331,TS-0005,ND-0118,ND-0115,P3,false,92.4,4.8,400,0.95,话音,HF
CD-0332,TS-0005,ND-0008,ND-0103,P2,false,211.1,4.8,400,0.95,话音,VUHF
CD-0333,TS-0005,ND-0017,ND-0039,P3,false,20.0,1.2,250,0.99,短消息,VUHF
CD-0334,TS-0006,ND-0013,ND-0121,P3,false,221.5,4.8,800,0.99,话音,HF
CD-0335,TS-0006,ND-0129,ND-0011,P3,false,133.3,1.2,800,0.9,短消息,HF
CD-0336,TS-0006,ND-0074,ND-0041,P3,false,150.1,32,800,0.9,数据,VUHF
CD-0337,TS-0006,ND-0041,ND-0053,P2,false,220.2,32,150,0.995,数据,VUHF
CD-0338,TS-0006,ND-0013,ND-0129,P2,false,121.8,1.2,250,0.9,短消息,HF
CD-0339,TS-0006,ND-0046,ND-0097,P2,false,227.2,4.8,250,0.9,话音,VUHF
CD-0340,TS-0006,ND-0013,ND-0042,P3,false,195.8,4.8,150,0.95,话音,VUHF
CD-0341,TS-0006,ND-0014,ND-0102,P3,false,207.2,4.8,800,0.9,话音,VUHF
CD-0342,TS-0006,ND-0018,ND-0073,P3,false,164.9,4.8,400,0.995,话音,VUHF
CD-0343,TS-0006,ND-0102,ND-0018,P2,false,24.7,4.8,250,0.995,话音,VUHF
CD-0344,TS-0006,ND-0102,ND-0053,P3,false,217.5,4.8,800,0.99,话音,VUHF
CD-0345,TS-0006,ND-0097,ND-0066,P3,false,233.7,1.2,400,0.99,短消息,VUHF
CD-0346,TS-0006,ND-0013,ND-0102,P2,false,146.1,1.2,400,0.9,短消息,VUHF
CD-0347,TS-0006,ND-0042,ND-0090,P3,false,64.6,4.8,800,0.995,话音,VUHF
CD-0348,TS-0006,ND-0046,ND-0070,P2,false,76.2,32,150,0.9,数据,VUHF
CD-0349,TS-0006,ND-0109,ND-0042,P2,false,93.7,4.8,400,0.995,话音,HF
CD-0350,TS-0006,ND-0070,ND-0074,P2,false,133.3,4.8,250,0.99,话音,VUHF
CD-0351,TS-0006,ND-0004,ND-0030,P2,false,32.4,4.8,250,0.995,话音,VUHF
CD-0352,TS-0006,ND-0001,ND-0018,P1,true,113.4,1.2,800,0.9,短消息,HF
CD-0353,TS-0006,ND-0046,ND-0109,P3,false,121.1,4.8,800,0.995,话音,HF
CD-0354,TS-0006,ND-0097,ND-0042,P3,false,127.4,4.8,400,0.995,话音,VUHF
CD-0355,TS-0006,ND-0042,ND-0076,P2,false,7.6,4.8,800,0.995,话音,VUHF
CD-0356,TS-0006,ND-0041,ND-0045,P2,false,113.5,4.8,800,0.9,话音,VUHF
CD-0357,TS-0006,ND-0098,ND-0011,P1,true,82.1,4.8,150,0.9,话音,VUHF
CD-0358,TS-0006,ND-0041,ND-0092,P3,false,225.0,1.2,150,0.9,短消息,VUHF
CD-0359,TS-0006,ND-0109,ND-0023,P3,false,14.8,1.2,800,0.9,短消息,HF
CD-0360,TS-0006,ND-0014,ND-0129,P2,true,130.2,4.8,250,0.9,话音,HF
CD-0361,TS-0006,ND-0074,ND-0076,P3,false,91.3,4.8,400,0.9,话音,VUHF
CD-0362,TS-0006,ND-0070,ND-0014,P1,true,138.6,1.2,400,0.95,短消息,VUHF
CD-0363,TS-0006,ND-0011,ND-0018,P1,true,89.2,4.8,800,0.99,话音,VUHF
CD-0364,TS-0006,ND-0109,ND-0013,P3,false,230.1,4.8,150,0.9,话音,HF
CD-0365,TS-0006,ND-0129,ND-0018,P3,false,63.0,4.8,800,0.95,话音,HF
CD-0366,TS-0006,ND-0041,ND-0122,P2,false,179.6,4.8,150,0.95,话音,HF
CD-0367,TS-0006,ND-0018,ND-0074,P2,true,95.7,32,150,0.995,数据,VUHF
CD-0368,TS-0006,ND-0018,ND-0046,P2,false,155.1,32,800,0.99,数据,VUHF
CD-0369,TS-0006,ND-0102,ND-0070,P2,false,8.3,4.8,400,0.99,话音,VUHF
CD-0370,TS-0006,ND-0097,ND-0061,P3,false,75.8,1.2,150,0.99,短消息,VUHF
CD-0371,TS-0006,ND-0013,ND-0105,P3,false,40.8,1.2,250,0.99,短消息,VUHF
CD-0372,TS-0006,ND-0014,ND-0097,P3,false,51.8,32,150,0.9,数据,VUHF
CD-0373,TS-0006,ND-0098,ND-0046,P3,false,34.5,1.2,800,0.95,短消息,VUHF
CD-0374,TS-0006,ND-0018,ND-0088,P3,false,154.8,32,150,0.995,数据,VUHF
CD-0375,TS-0006,ND-0102,ND-0016,P3,false,201.3,4.8,250,0.99,话音,VUHF
CD-0376,TS-0006,ND-0013,ND-0018,P1,true,206.9,32,400,0.95,数据,VUHF
CD-0377,TS-0006,ND-0046,ND-0011,P3,false,134.5,4.8,800,0.9,话音,VUHF
CD-0378,TS-0006,ND-0014,ND-0042,P2,false,194.1,4.8,150,0.95,话音,VUHF
CD-0379,TS-0006,ND-0046,ND-0013,P2,false,147.2,32,800,0.995,数据,VUHF
CD-0380,TS-0006,ND-0041,ND-0001,P2,true,3.2,32,800,0.9,数据,HF
CD-0381,TS-0006,ND-0070,ND-0042,P3,false,89.1,32,250,0.95,数据,VUHF
CD-0382,TS-0006,ND-0011,ND-0014,P1,true,104.4,32,800,0.995,数据,VUHF
CD-0383,TS-0006,ND-0122,ND-0022,P2,false,182.0,4.8,800,0.995,话音,HF
CD-0384,TS-0006,ND-0074,ND-0095,P3,false,167.4,1.2,400,0.95,短消息,VUHF
CD-0385,TS-0006,ND-0014,ND-0122,P2,false,70.8,4.8,150,0.99,话音,HF
CD-0386,TS-0006,ND-0018,ND-0052,P3,false,67.9,4.8,800,0.995,话音,VUHF
CD-0387,TS-0006,ND-0018,ND-0080,P2,false,108.0,32,400,0.99,数据,VUHF
CD-0388,TS-0006,ND-0097,ND-0026,P2,true,109.5,4.8,800,0.9,话音,VUHF
CD-0389,TS-0006,ND-0001,ND-0004,P1,true,211.8,1.2,150,0.95,短消息,HF
CD-0390,TS-0006,ND-0013,ND-0074,P3,false,32.8,32,400,0.95,数据,VUHF
CD-0391,TS-0006,ND-0014,ND-0004,P1,true,76.8,1.2,150,0.99,短消息,VUHF
CD-0392,TS-0006,ND-0004,ND-0087,P2,false,188.8,32,150,0.9,数据,VUHF
CD-0393,TS-0006,ND-0042,ND-0004,P3,false,162.5,4.8,250,0.995,话音,VUHF
CD-0394,TS-0006,ND-0122,ND-0129,P3,false,6.3,1.2,250,0.99,短消息,HF
